               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093067,            0.027697,            0.020189,             0.38557,             0.27835,             0.18501,            0.027202,            0.071186,              0.0179,           0.0022354,           0.0032353,           0.0032353,            0.070882
                   1,            0.069303,             0.01994,           0.0043982,             0.27491,             0.42268,             0.22345,            0.040497,            0.072103,            0.012029,            0.002575,           0.0065036,           0.0065036,            0.040817
                   2,             0.06339,             0.01716,           0.0043609,             0.79522,             0.72165,             0.73884,             0.21215,            0.064662,           0.0091356,           0.0024346,           0.0097059,           0.0097059,            0.010686
                   3,            0.052744,            0.012751,           0.0031268,              0.8123,             0.53608,             0.73821,             0.22497,            0.056017,           0.0069908,            0.001479,            0.009703,            0.009703,            0.009703
                   4,            0.043435,           0.0097781,           0.0021329,             0.74992,              0.6492,             0.71701,             0.32724,            0.044656,           0.0085062,           0.0013037,            0.009703,            0.009703,            0.009703
                   5,            0.040676,           0.0084819,           0.0017561,             0.85286,             0.73196,             0.82695,             0.38781,            0.042274,           0.0064761,           0.0014512,            0.009604,            0.009604,            0.009604
                   6,            0.036584,           0.0080301,           0.0017078,              0.9533,             0.84536,             0.91503,             0.50301,            0.035451,           0.0066438,            0.001257,            0.009505,            0.009505,            0.009505
                   7,            0.036039,           0.0077463,           0.0015235,             0.96666,             0.89674,             0.94032,             0.57596,            0.033427,           0.0061696,           0.0013615,            0.009406,            0.009406,            0.009406
                   8,            0.033742,           0.0072228,           0.0014066,             0.93941,             0.96907,             0.96773,             0.55315,            0.032464,           0.0055942,           0.0012255,            0.009307,            0.009307,            0.009307
                   9,            0.031669,           0.0072314,           0.0013216,             0.98775,             0.92784,             0.98557,             0.60089,            0.031915,           0.0047097,           0.0011949,            0.009208,            0.009208,            0.009208
                  10,            0.030583,           0.0068805,           0.0012256,             0.97917,             0.96902,             0.98854,             0.58371,            0.030568,           0.0050477,           0.0010507,            0.009109,            0.009109,            0.009109
                  11,            0.029479,           0.0064793,           0.0011771,             0.93666,             0.91753,             0.97625,             0.58061,            0.032994,           0.0049264,           0.0010601,             0.00901,             0.00901,             0.00901
                  12,            0.028972,           0.0062775,           0.0011461,             0.94845,             0.94845,             0.98182,             0.65712,            0.031363,           0.0052557,           0.0010783,            0.008911,            0.008911,            0.008911
                  13,            0.027745,           0.0061953,           0.0010757,             0.99628,             0.93814,             0.99147,             0.63092,            0.030043,           0.0045086,           0.0010073,            0.008812,            0.008812,            0.008812
                  14,            0.025064,           0.0059303,          0.00099642,                   1,             0.88659,              0.9617,             0.59422,            0.029721,           0.0050605,          0.00094474,            0.008713,            0.008713,            0.008713
                  15,            0.026491,           0.0062132,           0.0010341,             0.99998,             0.93814,             0.98908,             0.61402,            0.029964,           0.0045802,          0.00098196,            0.008614,            0.008614,            0.008614
                  16,            0.025723,           0.0058316,          0.00098219,             0.97898,             0.96907,             0.99055,              0.6282,            0.029147,           0.0047374,          0.00093457,            0.008515,            0.008515,            0.008515
                  17,            0.025095,           0.0061121,           0.0009299,             0.98796,             0.86598,             0.97315,             0.59177,            0.033677,           0.0051406,          0.00099377,            0.008416,            0.008416,            0.008416
                  18,            0.024463,           0.0057888,          0.00098918,             0.98958,             0.97938,             0.99269,             0.59091,            0.031928,           0.0046124,          0.00092014,            0.008317,            0.008317,            0.008317
                  19,            0.023012,           0.0057714,          0.00085711,             0.98815,             0.87629,             0.97994,             0.61556,            0.029146,           0.0049804,          0.00087589,            0.008218,            0.008218,            0.008218
                  20,            0.022657,           0.0055021,          0.00082086,             0.94046,             0.97938,             0.99037,             0.58896,            0.030696,            0.004879,          0.00084068,            0.008119,            0.008119,            0.008119
                  21,            0.021369,           0.0053886,          0.00081577,             0.99968,             0.92784,             0.98872,              0.6167,            0.031499,           0.0047011,          0.00076502,             0.00802,             0.00802,             0.00802
                  22,            0.021057,           0.0052932,          0.00077681,             0.93125,             0.97938,             0.98222,             0.64211,            0.030245,           0.0049393,          0.00082515,            0.007921,            0.007921,            0.007921
                  23,            0.020889,            0.005248,          0.00076385,             0.98899,             0.93814,             0.99004,             0.62166,            0.031232,             0.00499,          0.00083683,            0.007822,            0.007822,            0.007822
                  24,            0.021032,           0.0053157,          0.00077741,             0.90476,             0.97931,             0.97816,             0.64015,            0.028327,            0.005318,          0.00083786,            0.007723,            0.007723,            0.007723
                  25,            0.020172,            0.005181,          0.00074337,             0.93877,             0.94836,             0.98396,              0.6128,             0.02911,           0.0054975,          0.00078646,            0.007624,            0.007624,            0.007624
                  26,             0.02125,            0.005384,           0.0007488,             0.99993,             0.95876,             0.99249,             0.61649,            0.029833,           0.0049644,          0.00080039,            0.007525,            0.007525,            0.007525
                  27,             0.02052,           0.0052311,          0.00081013,              0.9411,             0.98969,             0.99139,             0.62227,            0.029159,           0.0048384,          0.00075228,            0.007426,            0.007426,            0.007426
                  28,            0.020864,           0.0051676,          0.00071851,             0.94737,             0.92782,             0.98438,             0.61414,            0.031065,           0.0048969,          0.00078349,            0.007327,            0.007327,            0.007327
                  29,            0.018795,           0.0049329,           0.0007099,                   1,             0.88657,             0.97411,             0.60006,            0.031358,           0.0052354,          0.00077962,            0.007228,            0.007228,            0.007228
                  30,            0.018818,           0.0049884,          0.00065638,             0.98888,             0.91675,             0.98435,              0.6502,            0.028663,           0.0045756,          0.00065149,            0.007129,            0.007129,            0.007129
                  31,            0.018207,           0.0049196,          0.00063705,             0.96774,             0.92769,             0.98264,             0.60952,            0.031449,           0.0048453,          0.00066983,             0.00703,             0.00703,             0.00703
                  32,            0.017256,           0.0048815,          0.00062891,             0.98876,             0.90653,             0.97361,             0.62806,            0.029109,           0.0051814,          0.00071909,            0.006931,            0.006931,            0.006931
                  33,            0.018641,           0.0050151,          0.00065603,             0.98856,             0.92784,             0.98542,             0.62513,            0.027801,           0.0050114,          0.00073442,            0.006832,            0.006832,            0.006832
                  34,            0.018177,           0.0048556,          0.00066164,                   1,             0.91741,             0.98835,             0.63241,            0.028527,           0.0044277,          0.00068046,            0.006733,            0.006733,            0.006733
                  35,            0.017118,           0.0047253,          0.00059016,             0.99969,             0.91753,             0.98873,              0.6272,            0.028907,           0.0049877,          0.00058202,            0.006634,            0.006634,            0.006634
                  36,            0.018274,           0.0047525,          0.00061065,             0.96737,             0.91753,             0.97771,             0.62466,            0.030067,           0.0048075,          0.00066943,            0.006535,            0.006535,            0.006535
                  37,            0.017575,           0.0048794,          0.00065009,                   1,              0.8969,             0.97228,              0.6048,            0.029615,           0.0052017,           0.0006808,            0.006436,            0.006436,            0.006436
                  38,             0.01777,           0.0047568,          0.00057975,              0.9786,             0.95876,             0.98801,             0.64649,            0.028148,           0.0047192,          0.00062953,            0.006337,            0.006337,            0.006337
                  39,            0.016255,           0.0044897,          0.00057439,             0.97837,             0.93814,             0.98998,             0.65371,            0.029455,           0.0046319,          0.00058005,            0.006238,            0.006238,            0.006238
                  40,            0.016049,           0.0043676,          0.00054047,             0.98898,             0.92784,             0.98686,             0.63792,            0.028126,           0.0046317,          0.00056675,            0.006139,            0.006139,            0.006139
                  41,            0.016468,           0.0045624,          0.00053578,             0.98875,             0.90722,             0.97849,             0.66238,            0.028333,           0.0049184,          0.00063252,             0.00604,             0.00604,             0.00604
                  42,            0.015973,            0.004607,          0.00055774,             0.88181,                   1,             0.98253,             0.63429,             0.02752,           0.0049923,          0.00055334,            0.005941,            0.005941,            0.005941
                  43,            0.015089,           0.0045175,          0.00048411,             0.89813,                   1,              0.9811,             0.64206,            0.026893,           0.0049948,          0.00055271,            0.005842,            0.005842,            0.005842
                  44,            0.015625,           0.0044648,          0.00050874,             0.95875,             0.95876,             0.99021,             0.64954,            0.027513,           0.0046241,          0.00055144,            0.005743,            0.005743,            0.005743
                  45,            0.015656,           0.0043467,          0.00052557,                   1,             0.92778,             0.98749,             0.62367,            0.030532,           0.0048643,          0.00056643,            0.005644,            0.005644,            0.005644
                  46,            0.015451,           0.0043803,          0.00053318,                   1,             0.89669,             0.98075,             0.65093,            0.026154,           0.0052222,           0.0006034,            0.005545,            0.005545,            0.005545
                  47,            0.015393,           0.0042926,          0.00051104,             0.99999,              0.8866,             0.97245,             0.61225,            0.028964,           0.0055321,           0.0006349,            0.005446,            0.005446,            0.005446
                  48,             0.01571,           0.0043343,          0.00051705,                   1,             0.88659,             0.97377,             0.63482,            0.027203,           0.0056143,           0.0006436,            0.005347,            0.005347,            0.005347
                  49,            0.015502,           0.0043292,          0.00050657,             0.98913,             0.93813,             0.98511,              0.6449,            0.028003,           0.0047839,          0.00053002,            0.005248,            0.005248,            0.005248
                  50,            0.015424,           0.0041753,          0.00049343,                   1,             0.97936,             0.99348,             0.65974,            0.027121,           0.0043283,          0.00052095,            0.005149,            0.005149,            0.005149
                  51,            0.013875,           0.0041507,          0.00046441,                   1,              0.9585,             0.99252,             0.65738,            0.027194,            0.004891,          0.00050021,             0.00505,             0.00505,             0.00505
                  52,            0.013541,           0.0039631,          0.00044606,             0.98913,             0.93779,             0.98863,             0.61577,            0.029491,            0.005382,          0.00050295,            0.004951,            0.004951,            0.004951
                  53,            0.013979,           0.0040682,          0.00045287,             0.99988,             0.93814,             0.98024,             0.63761,            0.027459,           0.0053737,          0.00054299,            0.004852,            0.004852,            0.004852
                  54,            0.013495,           0.0040949,            0.000441,             0.99985,             0.90722,             0.98032,             0.62051,            0.029119,           0.0056948,          0.00052315,            0.004753,            0.004753,            0.004753
                  55,            0.013394,           0.0037952,            0.000436,                   1,             0.88655,             0.97129,             0.62536,            0.027334,           0.0054354,          0.00052211,            0.004654,            0.004654,            0.004654
                  56,            0.013615,           0.0039913,          0.00041442,             0.98899,             0.92784,             0.98801,              0.6592,            0.027369,           0.0052165,          0.00049549,            0.004555,            0.004555,            0.004555
                  57,            0.012786,            0.003955,          0.00039513,                   1,              0.9274,             0.98287,             0.62942,             0.02857,           0.0055632,          0.00046403,            0.004456,            0.004456,            0.004456
                  58,            0.012817,           0.0039641,          0.00038596,             0.95745,             0.92782,             0.97463,             0.63644,            0.027794,           0.0054542,          0.00048365,            0.004357,            0.004357,            0.004357
